,Survived,Age,Fare,TravelAlone,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_male
106,1,21.0,7.65,1,0,0,1,0,0,1,0
107,1,28.0,7.775,1,0,0,1,0,0,1,1
108,0,38.0,7.8958,1,0,0,1,0,0,1,1
109,1,28.0,24.15,0,0,0,1,0,1,0,0
110,0,47.0,52.0,1,1,0,0,0,0,1,1
111,0,14.5,14.4542,0,0,0,1,1,0,0,0
112,0,22.0,8.05,1,0,0,1,0,0,1,1
113,0,20.0,9.825,0,0,0,1,0,0,1,0
114,0,17.0,14.4583,1,0,0,1,1,0,0,0
115,0,21.0,7.925,1,0,0,1,0,0,1,1
116,0,70.5,7.75,1,0,0,1,0,1,0,1
117,0,29.0,21.0,0,0,1,0,0,0,1,1
118,0,24.0,247.5208,0,1,0,0,1,0,0,1
119,0,2.0,31.275,0,0,0,1,0,0,1,0
120,0,21.0,73.5,0,0,1,0,0,0,1,1
121,0,28.0,8.05,1,0,0,1,0,0,1,1
122,0,32.5,30.0708,0,0,1,0,1,0,0,1
123,1,32.5,13.0,1,0,1,0,0,0,1,0
124,0,54.0,77.2875,0,1,0,0,0,0,1,1
125,1,12.0,11.2417,0,0,0,1,1,0,0,1
126,0,28.0,7.75,1,0,0,1,0,1,0,1
127,1,24.0,7.1417,1,0,0,1,0,0,1,1
128,1,28.0,22.3583,0,0,0,1,1,0,0,0
129,0,45.0,6.975,1,0,0,1,0,0,1,1
130,0,33.0,7.8958,1,0,0,1,1,0,0,1
131,0,20.0,7.05,1,0,0,1,0,0,1,1
132,0,47.0,14.5,0,0,0,1,0,0,1,0
133,1,29.0,26.0,0,0,1,0,0,0,1,0
134,0,25.0,13.0,1,0,1,0,0,0,1,1
135,0,23.0,15.0458,1,0,1,0,1,0,0,1
136,1,19.0,26.2833,0,1,0,0,0,0,1,0
137,0,37.0,53.1,0,1,0,0,0,0,1,1
138,0,16.0,9.2167,1,0,0,1,0,0,1,1
139,0,24.0,79.2,1,1,0,0,1,0,0,1
140,0,28.0,15.2458,0,0,0,1,1,0,0,0
141,1,22.0,7.75,1,0,0,1,0,0,1,0
142,1,24.0,15.85,0,0,0,1,0,0,1,0
143,0,19.0,6.75,1,0,0,1,0,1,0,1
144,0,18.0,11.5,1,0,1,0,0,0,1,1
145,0,19.0,36.75,0,0,1,0,0,0,1,1
146,1,27.0,7.7958,1,0,0,1,0,0,1,1
147,0,9.0,34.375,0,0,0,1,0,0,1,0
148,0,36.5,26.0,0,0,1,0,0,0,1,1
149,0,42.0,13.0,1,0,1,0,0,0,1,1
150,0,51.0,12.525,1,0,1,0,0,0,1,1
151,1,22.0,66.6,0,1,0,0,0,0,1,0
152,0,55.5,8.05,1,0,0,1,0,0,1,1
153,0,40.5,14.5,0,0,0,1,0,0,1,1
154,0,28.0,7.3125,1,0,0,1,0,0,1,1
155,0,51.0,61.3792,0,1,0,0,1,0,0,1
156,1,16.0,7.7333,1,0,0,1,0,1,0,0
157,0,30.0,8.05,1,0,0,1,0,0,1,1
158,0,28.0,8.6625,1,0,0,1,0,0,1,1
159,0,28.0,69.55,0,0,0,1,0,0,1,1
160,0,44.0,16.1,0,0,0,1,0,0,1,1
161,1,40.0,15.75,1,0,1,0,0,0,1,0
162,0,26.0,7.775,1,0,0,1,0,0,1,1
163,0,17.0,8.6625,1,0,0,1,0,0,1,1
164,0,1.0,39.6875,0,0,0,1,0,0,1,1
165,1,9.0,20.525,0,0,0,1,0,0,1,1
166,1,28.0,55.0,0,1,0,0,0,0,1,0
167,0,45.0,27.9,0,0,0,1,0,0,1,0
168,0,28.0,25.925,1,1,0,0,0,0,1,1
169,0,28.0,56.4958,1,0,0,1,0,0,1,1
170,0,61.0,33.5,1,1,0,0,0,0,1,1
171,0,4.0,29.125,0,0,0,1,0,1,0,1
172,1,1.0,11.1333,0,0,0,1,0,0,1,0
173,0,21.0,7.925,1,0,0,1,0,0,1,1
174,0,56.0,30.6958,1,1,0,0,1,0,0,1
175,0,18.0,7.8542,0,0,0,1,0,0,1,1
176,0,28.0,25.4667,0,0,0,1,0,0,1,1
177,0,50.0,28.7125,1,1,0,0,1,0,0,0
178,0,30.0,13.0,1,0,1,0,0,0,1,1
179,0,36.0,0.0,1,0,0,1,0,0,1,1
180,0,28.0,69.55,0,0,0,1,0,0,1,0
181,0,28.0,15.05,1,0,1,0,1,0,0,1
182,0,9.0,31.3875,0,0,0,1,0,0,1,1
183,1,1.0,39.0,0,0,1,0,0,0,1,1
184,1,4.0,22.025,0,0,0,1,0,0,1,0
185,0,28.0,50.0,1,1,0,0,0,0,1,1
186,1,28.0,15.5,0,0,0,1,0,1,0,0
187,1,45.0,26.55,1,1,0,0,0,0,1,1
188,0,40.0,15.5,0,0,0,1,0,1,0,1
189,0,36.0,7.8958,1,0,0,1,0,0,1,1
190,1,32.0,13.0,1,0,1,0,0,0,1,0
191,0,19.0,13.0,1,0,1,0,0,0,1,1
192,1,19.0,7.8542,0,0,0,1,0,0,1,0
193,1,3.0,26.0,0,0,1,0,0,0,1,1
194,1,44.0,27.7208,1,1,0,0,1,0,0,0
195,1,58.0,146.5208,1,1,0,0,1,0,0,0
196,0,28.0,7.75,1,0,0,1,0,1,0,1
197,0,42.0,8.4042,0,0,0,1,0,0,1,1
198,1,28.0,7.75,1,0,0,1,0,1,0,0
199,0,24.0,13.0,1,0,1,0,0,0,1,0
200,0,28.0,9.5,1,0,0,1,0,0,1,1
201,0,28.0,69.55,0,0,0,1,0,0,1,1
202,0,34.0,6.4958,1,0,0,1,0,0,1,1
203,0,45.5,7.225,1,0,0,1,1,0,0,1
204,1,18.0,8.05,1,0,0,1,0,0,1,1
205,0,2.0,10.4625,0,0,0,1,0,0,1,0
206,0,32.0,15.85,0,0,0,1,0,0,1,1
207,1,26.0,18.7875,1,0,0,1,1,0,0,1
208,1,16.0,7.75,1,0,0,1,0,1,0,0
209,1,40.0,31.0,1,1,0,0,1,0,0,1
210,0,24.0,7.05,1,0,0,1,0,0,1,1
211,1,35.0,21.0,1,0,1,0,0,0,1,0
212,0,22.0,7.25,1,0,0,1,0,0,1,1
213,0,30.0,13.0,1,0,1,0,0,0,1,1
214,0,28.0,7.75,0,0,0,1,0,1,0,1
215,1,31.0,113.275,0,1,0,0,1,0,0,0
216,1,27.0,7.925,1,0,0,1,0,0,1,0
217,0,42.0,27.0,0,0,1,0,0,0,1,1
218,1,32.0,76.2917,1,1,0,0,1,0,0,0
219,0,30.0,10.5,1,0,1,0,0,0,1,1
220,1,16.0,8.05,1,0,0,1,0,0,1,1
221,0,27.0,13.0,1,0,1,0,0,0,1,1
222,0,51.0,8.05,1,0,0,1,0,0,1,1
223,0,28.0,7.8958,1,0,0,1,0,0,1,1
224,1,38.0,90.0,0,1,0,0,0,0,1,1
225,0,22.0,9.35,1,0,0,1,0,0,1,1
226,1,19.0,10.5,1,0,1,0,0,0,1,1
227,0,20.5,7.25,1,0,0,1,0,0,1,1
228,0,18.0,13.0,1,0,1,0,0,0,1,1
229,0,28.0,25.4667,0,0,0,1,0,0,1,0
230,1,35.0,83.475,0,1,0,0,0,0,1,0
231,0,29.0,7.775,1,0,0,1,0,0,1,1
232,0,59.0,13.5,1,0,1,0,0,0,1,1
233,1,5.0,31.3875,0,0,0,1,0,0,1,0
234,0,24.0,10.5,1,0,1,0,0,0,1,1
235,0,28.0,7.55,1,0,0,1,0,0,1,0
236,0,44.0,26.0,0,0,1,0,0,0,1,1
237,1,8.0,26.25,0,0,1,0,0,0,1,0
238,0,19.0,10.5,1,0,1,0,0,0,1,1
239,0,33.0,12.275,1,0,1,0,0,0,1,1
240,0,28.0,14.4542,0,0,0,1,1,0,0,0
241,1,28.0,15.5,0,0,0,1,0,1,0,0
242,0,29.0,10.5,1,0,1,0,0,0,1,1
243,0,22.0,7.125,1,0,0,1,0,0,1,1
244,0,30.0,7.225,1,0,0,1,1,0,0,1
245,0,44.0,90.0,0,1,0,0,0,1,0,1
246,0,25.0,7.775,1,0,0,1,0,0,1,0
247,1,24.0,14.5,0,0,1,0,0,0,1,0
248,1,37.0,52.5542,0,1,0,0,0,0,1,1
249,0,54.0,26.0,0,0,1,0,0,0,1,1
250,0,28.0,7.25,1,0,0,1,0,0,1,1
251,0,29.0,10.4625,0,0,0,1,0,0,1,0
252,0,62.0,26.55,1,1,0,0,0,0,1,1
253,0,30.0,16.1,0,0,0,1,0,0,1,1
254,0,41.0,20.2125,0,0,0,1,0,0,1,0
255,1,29.0,15.2458,0,0,0,1,1,0,0,0
256,1,28.0,79.2,1,1,0,0,1,0,0,0
257,1,30.0,86.5,1,1,0,0,0,0,1,0
258,1,35.0,512.3292,1,1,0,0,1,0,0,0
259,1,50.0,26.0,0,0,1,0,0,0,1,0
260,0,28.0,7.75,1,0,0,1,0,1,0,1
261,1,3.0,31.3875,0,0,0,1,0,0,1,1
262,0,52.0,79.65,0,1,0,0,0,0,1,1
263,0,40.0,0.0,1,1,0,0,0,0,1,1
264,0,28.0,7.75,1,0,0,1,0,1,0,0
265,0,36.0,10.5,1,0,1,0,0,0,1,1
266,0,16.0,39.6875,0,0,0,1,0,0,1,1
267,1,25.0,7.775,0,0,0,1,0,0,1,1
268,1,58.0,153.4625,0,1,0,0,0,0,1,0
269,1,35.0,135.6333,1,1,0,0,0,0,1,0
270,0,28.0,31.0,1,1,0,0,0,0,1,1
271,1,25.0,0.0,1,0,0,1,0,0,1,1
272,1,41.0,19.5,0,0,1,0,0,0,1,0
273,0,37.0,29.7,0,1,0,0,1,0,0,1
274,1,28.0,7.75,1,0,0,1,0,1,0,0
275,1,63.0,77.9583,0,1,0,0,0,0,1,0
276,0,45.0,7.75,1,0,0,1,0,0,1,0
277,0,28.0,0.0,1,0,1,0,0,0,1,1
278,0,7.0,29.125,0,0,0,1,0,1,0,1
279,1,35.0,20.25,0,0,0,1,0,0,1,0
280,0,65.0,7.75,1,0,0,1,0,1,0,1
281,0,28.0,7.8542,1,0,0,1,0,0,1,1
282,0,16.0,9.5,1,0,0,1,0,0,1,1
283,1,19.0,8.05,1,0,0,1,0,0,1,1
284,0,28.0,26.0,1,1,0,0,0,0,1,1
285,0,33.0,8.6625,1,0,0,1,1,0,0,1
286,1,30.0,9.5,1,0,0,1,0,0,1,1
287,0,22.0,7.8958,1,0,0,1,0,0,1,1
288,1,42.0,13.0,1,0,1,0,0,0,1,1
289,1,22.0,7.75,1,0,0,1,0,1,0,0
290,1,26.0,78.85,1,1,0,0,0,0,1,0
291,1,19.0,91.0792,0,1,0,0,1,0,0,0
292,0,36.0,12.875,1,0,1,0,1,0,0,1
293,0,24.0,8.85,1,0,0,1,0,0,1,0
294,0,24.0,7.8958,1,0,0,1,0,0,1,1
295,0,28.0,27.7208,1,1,0,0,1,0,0,1
296,0,23.5,7.2292,1,0,0,1,1,0,0,1
297,0,2.0,151.55,0,1,0,0,0,0,1,0
298,1,28.0,30.5,1,1,0,0,0,0,1,1
299,1,50.0,247.5208,0,1,0,0,1,0,0,0
300,1,28.0,7.75,1,0,0,1,0,1,0,0
301,1,28.0,23.25,0,0,0,1,0,1,0,1
302,0,19.0,0.0,1,0,0,1,0,0,1,1
303,1,28.0,12.35,1,0,1,0,0,1,0,0
304,0,28.0,8.05,1,0,0,1,0,0,1,1
305,1,0.92,151.55,0,1,0,0,0,0,1,1
306,1,28.0,110.8833,1,1,0,0,1,0,0,0
307,1,17.0,108.9,0,1,0,0,1,0,0,0
308,0,30.0,24.0,0,0,1,0,1,0,0,1
309,1,30.0,56.9292,1,1,0,0,1,0,0,0
310,1,24.0,83.1583,1,1,0,0,1,0,0,0
311,1,18.0,262.375,0,1,0,0,1,0,0,0
312,0,26.0,26.0,0,0,1,0,0,0,1,0
313,0,28.0,7.8958,1,0,0,1,0,0,1,1
314,0,43.0,26.25,0,0,1,0,0,0,1,1
315,1,26.0,7.8542,1,0,0,1,0,0,1,0
316,1,24.0,26.0,0,0,1,0,0,0,1,0
317,0,54.0,14.0,1,0,1,0,0,0,1,1
318,1,31.0,164.8667,0,1,0,0,0,0,1,0
319,1,40.0,134.5,0,1,0,0,1,0,0,0
320,0,22.0,7.25,1,0,0,1,0,0,1,1
321,0,27.0,7.8958,1,0,0,1,0,0,1,1
322,1,30.0,12.35,1,0,1,0,0,1,0,0
323,1,22.0,29.0,0,0,1,0,0,0,1,0
324,0,28.0,69.55,0,0,0,1,0,0,1,1
325,1,36.0,135.6333,1,1,0,0,1,0,0,0
326,0,61.0,6.2375,1,0,0,1,0,0,1,1
327,1,36.0,13.0,1,0,1,0,0,0,1,0
328,1,31.0,20.525,0,0,0,1,0,0,1,0
329,1,16.0,57.9792,0,1,0,0,1,0,0,0
330,1,28.0,23.25,0,0,0,1,0,1,0,0
331,0,45.5,28.5,1,1,0,0,0,0,1,1
332,0,38.0,153.4625,0,1,0,0,0,0,1,1
333,0,16.0,18.0,0,0,0,1,0,0,1,1
334,1,28.0,133.65,0,1,0,0,0,0,1,0
335,0,28.0,7.8958,1,0,0,1,0,0,1,1
336,0,29.0,66.6,0,1,0,0,0,0,1,1
337,1,41.0,134.5,1,1,0,0,1,0,0,0
338,1,45.0,8.05,1,0,0,1,0,0,1,1
339,0,45.0,35.5,1,1,0,0,0,0,1,1
340,1,2.0,26.0,0,0,1,0,0,0,1,1
341,1,24.0,263.0,0,1,0,0,0,0,1,0
342,0,28.0,13.0,1,0,1,0,0,0,1,1
343,0,25.0,13.0,1,0,1,0,0,0,1,1
344,0,36.0,13.0,1,0,1,0,0,0,1,1
345,1,24.0,13.0,1,0,1,0,0,0,1,0
346,1,40.0,13.0,1,0,1,0,0,0,1,0
347,1,28.0,16.1,0,0,0,1,0,0,1,0
348,1,3.0,15.9,0,0,0,1,0,0,1,1
349,0,42.0,8.6625,1,0,0,1,0,0,1,1
350,0,23.0,9.225,1,0,0,1,0,0,1,1
351,0,28.0,35.0,1,1,0,0,0,0,1,1
352,0,15.0,7.2292,0,0,0,1,1,0,0,1
353,0,25.0,17.8,0,0,0,1,0,0,1,1
354,0,28.0,7.225,1,0,0,1,1,0,0,1
355,0,28.0,9.5,1,0,0,1,0,0,1,1
356,1,22.0,55.0,0,1,0,0,0,0,1,0
357,0,38.0,13.0,1,0,1,0,0,0,1,0
358,1,28.0,7.8792,1,0,0,1,0,1,0,0
359,1,28.0,7.8792,1,0,0,1,0,1,0,0
360,0,40.0,27.9,0,0,0,1,0,0,1,1
361,0,29.0,27.7208,0,0,1,0,1,0,0,1
362,0,45.0,14.4542,0,0,0,1,1,0,0,0
363,0,35.0,7.05,1,0,0,1,0,0,1,1
364,0,28.0,15.5,0,0,0,1,0,1,0,1
365,0,30.0,7.25,1,0,0,1,0,0,1,1
366,1,60.0,75.25,0,1,0,0,1,0,0,0
367,1,28.0,7.2292,1,0,0,1,1,0,0,0
368,1,28.0,7.75,1,0,0,1,0,1,0,0
369,1,24.0,69.3,1,1,0,0,1,0,0,0
370,1,25.0,55.4417,0,1,0,0,1,0,0,1
371,0,18.0,6.4958,0,0,0,1,0,0,1,1
372,0,19.0,8.05,1,0,0,1,0,0,1,1
373,0,22.0,135.6333,1,1,0,0,1,0,0,1
374,0,3.0,21.075,0,0,0,1,0,0,1,0
375,1,28.0,82.1708,0,1,0,0,1,0,0,0
376,1,22.0,7.25,1,0,0,1,0,0,1,0
377,0,27.0,211.5,0,1,0,0,1,0,0,1
378,0,20.0,4.0125,1,0,0,1,1,0,0,1
379,0,19.0,7.775,1,0,0,1,0,0,1,1
380,1,42.0,227.525,1,1,0,0,1,0,0,0
381,1,1.0,15.7417,0,0,0,1,1,0,0,0
382,0,32.0,7.925,1,0,0,1,0,0,1,1
383,1,35.0,52.0,0,1,0,0,0,0,1,0
384,0,28.0,7.8958,1,0,0,1,0,0,1,1
385,0,18.0,73.5,1,0,1,0,0,0,1,1
386,0,1.0,46.9,0,0,0,1,0,0,1,1
387,1,36.0,13.0,1,0,1,0,0,0,1,0
388,0,28.0,7.7292,1,0,0,1,0,1,0,1
389,1,17.0,12.0,1,0,1,0,1,0,0,0
390,1,36.0,120.0,0,1,0,0,0,0,1,1
391,1,21.0,7.7958,1,0,0,1,0,0,1,1
392,0,28.0,7.925,0,0,0,1,0,0,1,1
393,1,23.0,113.275,0,1,0,0,1,0,0,0
394,1,24.0,16.7,0,0,0,1,0,0,1,0
395,0,22.0,7.7958,1,0,0,1,0,0,1,1
396,0,31.0,7.8542,1,0,0,1,0,0,1,0
397,0,46.0,26.0,1,0,1,0,0,0,1,1
398,0,23.0,10.5,1,0,1,0,0,0,1,1
399,1,28.0,12.65,1,0,1,0,0,0,1,0
400,1,39.0,7.925,1,0,0,1,0,0,1,1
401,0,26.0,8.05,1,0,0,1,0,0,1,1
402,0,21.0,9.825,0,0,0,1,0,0,1,0
403,0,28.0,15.85,0,0,0,1,0,0,1,1
404,0,20.0,8.6625,1,0,0,1,0,0,1,0
405,0,34.0,21.0,0,0,1,0,0,0,1,1
406,0,51.0,7.75,1,0,0,1,0,0,1,1
407,1,3.0,18.75,0,0,1,0,0,0,1,1
408,0,21.0,7.775,1,0,0,1,0,0,1,1
409,0,28.0,25.4667,0,0,0,1,0,0,1,0
410,0,28.0,7.8958,1,0,0,1,0,0,1,1
411,0,28.0,6.8583,1,0,0,1,0,1,0,1
412,1,33.0,90.0,0,1,0,0,0,1,0,0
413,0,28.0,0.0,1,0,1,0,0,0,1,1
414,1,44.0,7.925,1,0,0,1,0,0,1,1
415,0,28.0,8.05,1,0,0,1,0,0,1,0
416,1,34.0,32.5,0,0,1,0,0,0,1,0
417,1,18.0,13.0,0,0,1,0,0,0,1,0
418,0,30.0,13.0,1,0,1,0,0,0,1,1
419,0,10.0,24.15,0,0,0,1,0,0,1,0
420,0,28.0,7.8958,1,0,0,1,1,0,0,1
421,0,21.0,7.7333,1,0,0,1,0,1,0,1
422,0,29.0,7.875,1,0,0,1,0,0,1,1
423,0,28.0,14.4,0,0,0,1,0,0,1,0
424,0,18.0,20.2125,0,0,0,1,0,0,1,1
425,0,28.0,7.25,1,0,0,1,0,0,1,1
426,1,28.0,26.0,0,0,1,0,0,0,1,0
427,1,19.0,26.0,1,0,1,0,0,0,1,0
428,0,28.0,7.75,1,0,0,1,0,1,0,1
429,1,32.0,8.05,1,0,0,1,0,0,1,1
430,1,28.0,26.55,1,1,0,0,0,0,1,1
431,1,28.0,16.1,0,0,0,1,0,0,1,0
432,1,42.0,26.0,0,0,1,0,0,0,1,0
433,0,17.0,7.125,1,0,0,1,0,0,1,1
434,0,50.0,55.9,0,1,0,0,0,0,1,1
435,1,14.0,120.0,0,1,0,0,0,0,1,0
436,0,21.0,34.375,0,0,0,1,0,0,1,0
437,1,24.0,18.75,0,0,1,0,0,0,1,0
438,0,64.0,263.0,0,1,0,0,0,0,1,1
439,0,31.0,10.5,1,0,1,0,0,0,1,1
440,1,45.0,26.25,0,0,1,0,0,0,1,0
441,0,20.0,9.5,1,0,0,1,0,0,1,1
442,0,25.0,7.775,0,0,0,1,0,0,1,1
443,1,28.0,13.0,1,0,1,0,0,0,1,0
444,1,28.0,8.1125,1,0,0,1,0,0,1,1
445,1,4.0,81.8583,0,1,0,0,0,0,1,1
446,1,13.0,19.5,0,0,1,0,0,0,1,0
447,1,34.0,26.55,1,1,0,0,0,0,1,1
448,1,5.0,19.2583,0,0,0,1,1,0,0,0
449,1,52.0,30.5,1,1,0,0,0,0,1,1
450,0,36.0,27.75,0,0,1,0,0,0,1,1
451,0,28.0,19.9667,0,0,0,1,0,0,1,1
452,0,30.0,27.75,1,1,0,0,1,0,0,1
453,1,49.0,89.1042,0,1,0,0,1,0,0,1
454,0,28.0,8.05,1,0,0,1,0,0,1,1
455,1,29.0,7.8958,1,0,0,1,1,0,0,1
456,0,65.0,26.55,1,1,0,0,0,0,1,1
457,1,28.0,51.8625,0,1,0,0,0,0,1,0
458,1,50.0,10.5,1,0,1,0,0,0,1,0
459,0,28.0,7.75,1,0,0,1,0,1,0,1
460,1,48.0,26.55,1,1,0,0,0,0,1,1
461,0,34.0,8.05,1,0,0,1,0,0,1,1
462,0,47.0,38.5,1,1,0,0,0,0,1,1
463,0,48.0,13.0,1,0,1,0,0,0,1,1
464,0,28.0,8.05,1,0,0,1,0,0,1,1
465,0,38.0,7.05,1,0,0,1,0,0,1,1
466,0,28.0,0.0,1,0,1,0,0,0,1,1
467,0,56.0,26.55,1,1,0,0,0,0,1,1
468,0,28.0,7.725,1,0,0,1,0,1,0,1
469,1,0.75,19.2583,0,0,0,1,1,0,0,0
470,0,28.0,7.25,1,0,0,1,0,0,1,1
471,0,38.0,8.6625,1,0,0,1,0,0,1,1
472,1,33.0,27.75,0,0,1,0,0,0,1,0
473,1,23.0,13.7917,1,0,1,0,1,0,0,0
474,0,22.0,9.8375,1,0,0,1,0,0,1,0
475,0,28.0,52.0,1,1,0,0,0,0,1,1
476,0,34.0,21.0,0,0,1,0,0,0,1,1
477,0,29.0,7.0458,0,0,0,1,0,0,1,1
478,0,22.0,7.5208,1,0,0,1,0,0,1,1
479,1,2.0,12.2875,0,0,0,1,0,0,1,0
480,0,9.0,46.9,0,0,0,1,0,0,1,1
481,0,28.0,0.0,1,0,1,0,0,0,1,1
482,0,50.0,8.05,1,0,0,1,0,0,1,1
483,1,63.0,9.5875,1,0,0,1,0,0,1,0
484,1,25.0,91.0792,0,1,0,0,1,0,0,1
485,0,28.0,25.4667,0,0,0,1,0,0,1,0
486,1,35.0,90.0,0,1,0,0,0,0,1,0
487,0,58.0,29.7,1,1,0,0,1,0,0,1
488,0,30.0,8.05,1,0,0,1,0,0,1,1
